"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_00001",13037.0041839036,0.279728382891761,0.274205974001373,1.02013963740396,0.307662240481324,0.399750596641017
"SAOUHSC_00002",9609.15781686382,0.454090825705616,0.177012877627558,2.56529825282565,0.0103087151093934,0.0212153835313965
"SAOUHSC_00003",822.095658891985,0.668650190183098,0.35939398949288,1.86049352446487,0.0628157337726509,0.103886058153526
"SAOUHSC_00004",7001.51417966103,1.31522003419083,0.279074645573655,4.71278940975564,2.44348684124412e-06,1.13080321470445e-05
"SAOUHSC_00005",16202.1269446042,1.29386700106806,0.332866927083436,3.8870398222042,0.000101474112152971,0.000334600511076896
"SAOUHSC_00006",21385.4730861709,1.42723752329868,0.354554391375407,4.02544026534847,5.68688156817288e-05,0.000197298459620704
"SAOUHSC_00007",3923.66112606348,0.508417853095462,0.324980322824955,1.56445734521998,0.117710202640283,0.179396820862424
"SAOUHSC_00008",1502.16846676578,1.04571995957563,0.232462811617327,4.49843978183084,6.84539797628739e-06,2.85959246701738e-05
"SAOUHSC_00009",20978.8942441124,-4.75674511273335,0.325450156703782,-14.6158943689274,2.22414341833489e-48,7.39805704523642e-46
"SAOUHSC_00010",895.624333460016,-3.61332369902356,0.401040517698243,-9.00987191958083,2.06297282167548e-19,5.32968027036743e-18
"SAOUHSC_00012",629.739178341825,-3.25339389190378,0.333133084877824,-9.76604858414755,1.57474446832792e-22,5.23799378777575e-21
"SAOUHSC_00013",2950.80665141077,-2.53143791577809,0.372156271833954,-6.80208317678857,1.03117029375291e-11,1.08029297310098e-10
"SAOUHSC_00014",3936.32677395438,-0.538244751796736,0.188753764146644,-2.85157095663836,0.00435037754950427,0.00981879105956816
"SAOUHSC_00015",18430.8132646839,0.257630974827536,0.28415651693089,0.906651649626584,0.364591039375562,0.459146595257155
"SAOUHSC_00017",4390.37142736288,0.448229242753828,0.209246174892702,2.14211439221612,0.0321842780410005,0.0579447658099474
"SAOUHSC_00018",11798.9356121223,-0.755912516074375,0.406525252661343,-1.85944787224348,0.0629636815513763,0.104066060005101
"SAOUHSC_00019",6365.24560530579,-0.276485179258622,0.514142140736836,-0.537760197719605,0.590742613928151,0.670062274366074
"SAOUHSC_T00018",109.275975036952,-1.98095460216035,1.53486017801096,-1.29064173436794,0.196827937259297,0.27829922478586
"SAOUHSC_T00011",273.976090572625,-0.382621107399241,0.93901486683115,-0.407470766347347,0.683662260932599,0.751856717344122
"SAOUHSC_00020",2954.01873404459,-0.184195048731817,0.242705259353025,-0.758924834273566,0.447897522130472,0.539057126363269
"SAOUHSC_00021",10741.9665393807,-0.554752064426165,0.49515913911885,-1.12035105605313,0.262564193067018,0.352158930318214
"SAOUHSC_00022",8198.89964316541,0.398938575656238,0.195750034586922,2.03800002640148,0.0415499302314774,0.0725685640330164
"SAOUHSC_00023",6365.64683934129,0.310135204528961,0.311198000476099,0.996584823985012,0.318966075294772,0.411026017607451
"SAOUHSC_00024",1238.49389590399,0.702185427150923,0.381245855919003,1.84181786175298,0.0655017964440729,0.107792381161211
"SAOUHSC_00025",1226.36299228837,-0.202923634870531,0.52333265087118,-0.387752674198196,0.698199071116316,0.765200876540576
"SAOUHSC_00026",158.38437628316,2.74356521831784,0.403036199776746,6.80724267407638,9.94870382186389e-12,1.04638343359604e-10
"SAOUHSC_00027",1231.41469117369,-0.707602321369113,0.44622950795308,-1.58573628314046,0.112799144859356,0.173002031395243
"SAOUHSC_00028",3.3230474016077,-0.368896329027171,1.48641205729838,-0.248179047805664,0.80399587675084,0.847433254697666
"SAOUHSC_00029",28.2362471570349,-2.4999678207179,0.605060056246931,-4.131768069809,3.59983547992068e-05,0.000129273444157475
"SAOUHSC_00030",1268.02542672156,-0.83356720434622,0.31861226813971,-2.61624327654798,0.00889031903860247,0.0185110633503296
"SAOUHSC_00031",11631.8999234272,4.24744466327076,0.302297448251995,14.0505475247349,7.64407467886871e-45,1.69507356003914e-42
"SAOUHSC_00032",47.2043781478425,0.973574480624516,0.794723754812151,1.22504766559374,0.220557261767861,0.305519455265112
"SAOUHSC_00033",6089.67994177144,4.07750594608828,0.382876233340158,10.6496710712929,1.74982249704314e-26,8.95438012429193e-25
"SAOUHSC_00034",1451.09100989538,4.22812582105907,0.449792299585298,9.40017386904431,5.4472981286179e-21,1.6286809348598e-19
"SAOUHSC_00035",9806.19850405465,5.8446536805793,0.57367395425194,10.1881105761558,2.24076760971992e-24,9.46457557057888e-23
"SAOUHSC_00036",19068.6443247047,5.19682544976446,0.394803783744651,13.1630588756607,1.43170062168386e-39,1.73170697922762e-37
"SAOUHSC_00037",20756.7271887173,2.15154292766656,0.445921510268826,4.82493640275279,1.40047948392547e-06,6.7634771446927e-06
"SAOUHSC_00038",114.54083062497,0.793255405390016,0.385996009324181,2.05508706366909,0.0398705961846633,0.070221339328243
"SAOUHSC_00039",3007.81312290212,-0.974345975655709,0.521441552366826,-1.86856220267285,0.0616837485040202,0.10226819611788
"SAOUHSC_00040",16.6443559441452,-0.436569403325304,0.511435696740884,-0.853615432218235,0.393318105018022,0.485219971002762
"SAOUHSC_00041",371.057081170018,0.790365051482371,0.251833839143638,3.13843863942197,0.00169850492606469,0.00424387005470248
"SAOUHSC_00042",230.874117605218,-0.0553729984992729,0.316200915918127,-0.17511966509803,0.86098560651972,0.891901598779523
"SAOUHSC_00043",88.1038095091804,0.419084558571434,0.322725466675885,1.29857913875859,0.19408840102204,0.27501024234273
