Gene_ID	Pathway_ID
SAOUHSC_00262	sao00001;sao03036
SAOUHSC_00282	sao00001
SAOUHSC_00285	sao00001;sao02000
SAOUHSC_00287	sao00001;sao02000
SAOUHSC_00292	sao00001;sao01000
SAOUHSC_00294	sao00001
SAOUHSC_00295	sao00001;sao01000
SAOUHSC_00298	sao00001;sao01000
SAOUHSC_00300	sao00001;sao01000
SAOUHSC_00308	sao00001;sao01000
SAOUHSC_00310	sao00001;sao02000
SAOUHSC_00311	sao00001;sao02000;sao01000
SAOUHSC_00312	sao00001;sao02000;sao01000
SAOUHSC_00314	sao00001;sao03000;sao01504
SAOUHSC_00315	sao00001;sao02000;sao01504
SAOUHSC_00317	sao00001;sao02000
SAOUHSC_00320	sao00001;sao01000
SAOUHSC_00324	sao00001;sao03009
SAOUHSC_00325	sao00001;sao02000
SAOUHSC_00326	sao00001;sao02000
SAOUHSC_00327	sao00001;sao02000
SAOUHSC_00328	sao02044;sao00001
SAOUHSC_00329	sao02044;sao00001
SAOUHSC_00331	sao00001;sao03000
SAOUHSC_00333	sao00001;sao02000
SAOUHSC_00336	sao00001;sao04147;sao01000
SAOUHSC_00338	sao00001;sao01000
SAOUHSC_00339	sao00001;sao01000
SAOUHSC_00340	sao00001;sao01000
SAOUHSC_00341	sao00001;sao01000
SAOUHSC_00342	sao00001;sao03000;sao04812;sao03036
SAOUHSC_00344	sao00001;sao02000
SAOUHSC_00346	sao00001;sao03009
SAOUHSC_00348	sao00001;sao03011
SAOUHSC_00349	sao00001;sao03032;sao03029;sao03400
SAOUHSC_00350	sao00001;sao03011
SAOUHSC_00359	sao00001;sao04131;sao04147;sao01000
SAOUHSC_00364	sao00001
SAOUHSC_00365	sao00001;sao01000
SAOUHSC_00366	sao00001;sao01000
SAOUHSC_00367	sao00001
SAOUHSC_00372	sao00001;sao01000
SAOUHSC_00373	sao00001;sao02000
SAOUHSC_00374	sao00001;sao04147;sao01000
SAOUHSC_00375	sao00001;sao01002;sao01000
SAOUHSC_00378	sao00001
SAOUHSC_00381	sao00001
SAOUHSC_00383	sao00001;sao02042
SAOUHSC_00390	sao00001;sao02042
SAOUHSC_00391	sao00001;sao02042
SAOUHSC_00392	sao00001;sao02042
SAOUHSC_00397	sao02048;sao00001;sao01000
SAOUHSC_00398	sao02048;sao00001;sao01000
SAOUHSC_00399	sao00001;sao02042
SAOUHSC_00413	sao00001
SAOUHSC_00417	sao00001;sao01000
SAOUHSC_00420	sao00001
SAOUHSC_00421	sao00001;sao01000
SAOUHSC_00422	sao00001;sao01000
SAOUHSC_00423	sao00001;sao02000
SAOUHSC_00424	sao00001;sao02000
SAOUHSC_00426	sao00001;sao02000
SAOUHSC_00427	sao00001;sao01000
SAOUHSC_00435	sao00001;sao01002;sao01000
SAOUHSC_00436	sao00001;sao01000
SAOUHSC_00437	sao00001;sao02000;sao01000
SAOUHSC_00438	sao00001;sao01000
SAOUHSC_00439	sao00001;sao03000
SAOUHSC_00442	sao00001;sao03032;sao03400;sao01000
SAOUHSC_00444	sao00001
SAOUHSC_00445	sao00001;sao03400
SAOUHSC_00451	sao00001;sao01000
SAOUHSC_00454	sao00001;sao03032;sao03400;sao01000
SAOUHSC_00458	sao00001
SAOUHSC_00459	sao00001;sao01000;sao03009
SAOUHSC_00461	sao00001;sao03016;sao01007;sao01000
SAOUHSC_00462	sao00001
SAOUHSC_00463	sao00001;sao01000
SAOUHSC_00464	sao00001;sao01000;sao03009
SAOUHSC_00466	sao00001;sao01000
SAOUHSC_00467	sao00001;sao03000
SAOUHSC_00468	sao00001;sao01000
SAOUHSC_00469	sao00001
SAOUHSC_00471	sao00001;sao01000
SAOUHSC_00472	sao00001;sao01000
SAOUHSC_00474	sao00001;sao03011
SAOUHSC_00475	sao03012;sao00001;sao01000
SAOUHSC_00477	sao00001;sao03400;sao01000
SAOUHSC_00479	sao00001
SAOUHSC_00480	sao00001;sao03036
SAOUHSC_00482	sao00001;sao03036
SAOUHSC_00483	sao00001
SAOUHSC_00484	sao00001;sao03016;sao01000
SAOUHSC_00485	sao00001;sao01000
SAOUHSC_00486	sao00001;sao03110;sao01002
SAOUHSC_00487	sao00001;sao03110
SAOUHSC_00488	sao00001;sao01000
SAOUHSC_00489	sao00001;sao01000
SAOUHSC_00490	sao00001;sao01000
SAOUHSC_00491	sao00001;sao01000
SAOUHSC_00493	sao00001;sao03016;sao01007;sao01000
SAOUHSC_00497	sao00001;sao03000
SAOUHSC_00499	sao00001;sao01000
SAOUHSC_00500	sao00001;sao01000
SAOUHSC_00501	sao00001;sao02000
SAOUHSC_00502	sao00001;sao03000
SAOUHSC_00503	sao00001
SAOUHSC_00504	sao00001;sao01000
SAOUHSC_00505	sao00001;sao03110
SAOUHSC_00507	sao00001;sao03400
SAOUHSC_00509	sao00001;sao03016;sao01007;sao01000
SAOUHSC_00510	sao00001;sao01000
SAOUHSC_00511	sao00001;sao03016;sao01007;sao01000
SAOUHSC_00512	sao00001;sao03009
SAOUHSC_00513	sao00001;sao01000;sao03009
SAOUHSC_00514	sao00001
SAOUHSC_00515	sao00001;sao03021
SAOUHSC_00516	sao02044;sao00001
